name,price,img_link,category
AKSA's Arum Lily Silver Pendant with Chain,"1,749.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00316_350x350_crop_bottom.jpg?v=1646831674,pendant
AKSA's Charm Drop Silver Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00204_350x350_crop_bottom.jpg?v=1646831097,pendant
AKSA's Shimmery Leaf Silver Pendant with Chain,"1,999.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00164_350x350_crop_bottom.jpg?v=1646830895,pendant
AKSA's Autumn Fall Silver Pendants with Chain,"1,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/DSC00300_350x350_crop_bottom.jpg?v=1646833233,pendant
AKSA's Dual Pearl Silver Necklace,"2,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD20.1_350x350_crop_bottom.jpg?v=1646566579,pendant
AKSA's Pearl Silver Double Layered Necklace,"1,799.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD18.1_350x350_crop_bottom.jpg?v=1646566493,pendant
AKSA's Crown Silver Pendant with Chain,"1,199.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD17.1_350x350_crop_bottom.jpg?v=1646566472,pendant
AKSA's Flake Silver Pendant with Chain,"1,249.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD16.1_350x350_crop_bottom.jpg?v=1646566448,pendant
AKSA's Bouquet Matte Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD13.1_350x350_crop_bottom.jpg?v=1646566394,pendant
AKSA's Floral Flow Matte Silver Pendant with Chain,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD11.1_350x350_crop_bottom.jpg?v=1646566346,pendant
AKSA's Floral Flow Matte Rose Gold Pendant with Chain,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD10.1_350x350_crop_bottom.jpg?v=1646566298,pendant
AKSA's Zig-Zag Matte Silver Necklace,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD9.1_350x350_crop_bottom.jpg?v=1646566267,pendant
AKSA's Zig-Zag Matte Rose Gold Necklace,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD8.1_350x350_crop_bottom.jpg?v=1646566245,pendant
AKSA's Shiny Halo Silver Necklace,"1,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD7.1_350x350_crop_bottom.jpg?v=1646566227,pendant
AKSA's Shiny Halo Rose Gold Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD6.1_350x350_crop_bottom.jpg?v=1646566196,pendant
AKSA's Gleaming Sunflower Silver Pendant with Chain,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD5.1_350x350_crop_bottom.jpg?v=1646566177,pendant
AKSA's Multicolor Minimal Rose Gold Chain Necklace,"1,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD4.1_350x350_crop_bottom.jpg?v=1646566145,pendant
AKSA's Baguette Box Silver Pendant with Chain,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD3.1_350x350_crop_bottom.jpg?v=1646566113,pendant
AKSA's Lover Tangled Silver Necklace,"1,399.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD2.1_350x350_crop_bottom.jpg?v=1646566076,pendant
AKSA's Evil Eye Flute Drop Silver Necklace,"1,499.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/PD1.1_350x350_crop_bottom.jpg?v=1646566059,pendant
AKSA's Torquoise Drop Silver Pair Charm Anklet,"2,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7167_350x350_crop_bottom.jpg?v=1653634532,anklets
AKSA's Aqua Drop Silver Pair Charm Anklet,"2,299.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7170_350x350_crop_bottom.jpg?v=1653634487,anklets
AKSA's Dangling Silver Charm Pair Anklet,"2,699.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7195_0b3a84a3-123a-4b7f-8939-b9ce1c893967_350x350_crop_bottom.jpg?v=1653634277,anklets
AKSA's Dual Heart Rose Gold Pair Anklet,"2,599.00",https://cdn.shopify.com/s/files/1/0622/2620/2840/products/WISH7205_a2329298-aef4-49b3-8302-9b5c3b4f1e8d_350x350_crop_bottom.jpg?v=1652685960,anklets
